set,type,snp_sets,partition,R_R,S_S,S_R,R_S,untypeable
2,mcc_multi,"1421007, 448892, 670518, 1650579, 1645084",validation,0.0477,0.0000,0.0444,0,4
2,mcc_multi,"1421007, 448892, 670518, 1650579, 1645084",all,0.0499,0.0000,0.0478,0,4
2,mcc_multi,"1997470, 140708, 333021, 1658398, 1701488",training,0.2689,0.0000,0.2056,0,0
2,mcc_multi,"1997470, 140708, 333021, 1658398, 1701488",validation,0.2708,0.0000,0.2197,0,7
2,mcc_multi,"1997470, 140708, 333021, 1658398, 1701488",all,0.2704,0.0000,0.2169,0,7
2,mcc_multi,"222980, 623155, 1119459, 259861, 448892",training,0.0776,0.0000,0.0827,0,0
2,mcc_multi,"222980, 623155, 1119459, 259861, 448892",validation,0.0497,0.0000,0.0702,0,3
2,mcc_multi,"222980, 623155, 1119459, 259861, 448892",all,0.0551,0.0000,0.0726,0,3
2,mcc_multi,"1190068, 1020160, 1855557, 908304, 381827",training,0.4031,0.0605,0.3624,0.0000,0
2,mcc_multi,"1190068, 1020160, 1855557, 908304, 381827",validation,0.4054,0.0631,0.3717,0.0000,4
2,mcc_multi,"1190068, 1020160, 1855557, 908304, 381827",all,0.4049,0.0614,0.3698,0.0000,4
3,mcc_multi,"1817208, 309851, 744156, 1351268, 2156259",training,0.2284,0.0000,0.2871,,0
3,mcc_multi,"1817208, 309851, 744156, 1351268, 2156259",validation,0.2375,0.0000,0.2850,0,3
3,mcc_multi,"1817208, 309851, 744156, 1351268, 2156259",all,0.2356,0.0000,0.2853,0,3
3,mcc_multi,"883472, 309851, 744156, 2156259, 1351268",training,0.2144,0.0000,0.2646,,0
3,mcc_multi,"883472, 309851, 744156, 2156259, 1351268",validation,0.2284,0.0000,0.2695,0,1
3,mcc_multi,"883472, 309851, 744156, 2156259, 1351268",all,0.2255,0.0000,0.2684,0,1
3,mcc_multi,"140984, 2154615, 217253, 71415, 1350097",training,0.2911,0.0000,0.2924,,0
3,mcc_multi,"140984, 2154615, 217253, 71415, 1350097",validation,0.2606,0.0000,0.2625,0,1
3,mcc_multi,"140984, 2154615, 217253, 71415, 1350097",all,0.2666,0.0000,0.2683,0,1
3,mcc_multi,"2156259, 309851, 744156, 1351268, 1817189",training,0.2365,0.0000,0.2850,,0
3,mcc_multi,"2156259, 309851, 744156, 1351268, 1817189",validation,0.2456,0.0000,0.2848,0,3
3,mcc_multi,"2156259, 309851, 744156, 1351268, 1817189",all,0.2436,0.0000,0.2847,0,3
3,mcc_multi,"146478, 309851, 744156, 1351268, 1643676",training,0.2609,0.0000,0.3215,,0
3,mcc_multi,"146478, 309851, 744156, 1351268, 1643676",validation,0.2808,0.0000,0.3341,0,1
3,mcc_multi,"146478, 309851, 744156, 1351268, 1643676",all,0.2768,0.0000,0.3316,0,1
3,mcc_multi,"1421337, 1817189, 1006436, 1351506, 30385",training,0.3202,0.0000,0.2946,,0
3,mcc_multi,"1421337, 1817189, 1006436, 1351506, 30385",validation,0.3356,0.0000,0.3122,0,15
3,mcc_multi,"1421337, 1817189, 1006436, 1351506, 30385",all,0.3325,0.0000,0.3087,0,15
3,mcc_multi,"639575, 1313696, 1249375, 679289, 523218",training,0.2611,0.0000,0.2199,,0
3,mcc_multi,"639575, 1313696, 1249375, 679289, 523218",validation,0.2444,0.0000,0.2021,0,2
3,mcc_multi,"639575, 1313696, 1249375, 679289, 523218",all,0.2478,0.0000,0.2057,0,2
3,mcc_multi,"241354, 1804497, 2143506, 679289, 14178",training,0.1881,0.0000,0.1708,,0
3,mcc_multi,"241354, 1804497, 2143506, 679289, 14178",validation,0.1718,0.0000,0.1635,0,2
3,mcc_multi,"241354, 1804497, 2143506, 679289, 14178",all,0.1751,0.0000,0.1650,0,2
3,mcc_multi,"639574, 1313696, 1249375, 679289, 523218",training,0.2611,0.0000,0.2199,,0
3,mcc_multi,"639574, 1313696, 1249375, 679289, 523218",validation,0.2444,0.0000,0.2021,0,2
3,mcc_multi,"639574, 1313696, 1249375, 679289, 523218",all,0.2478,0.0000,0.2057,0,2
3,mcc_multi,"1351358, 217253, 1521087, 679289, 683636",training,0.3053,0.0000,0.2571,,0
3,mcc_multi,"1351358, 217253, 1521087, 679289, 683636",validation,0.2974,0.0000,0.2502,0,16
3,mcc_multi,"1351358, 217253, 1521087, 679289, 683636",all,0.2991,0.0000,0.2517,0,16
4,mcc_multi,"1737822, 853156, 461785, 88140, 1653678",training,0.0811,0.0000,0.0714,0,0
4,mcc_multi,"1737822, 853156, 461785, 88140, 1653678",validation,0.0932,0.0000,0.0831,0,0
4,mcc_multi,"1737822, 853156, 461785, 88140, 1653678",all,0.0909,0.0000,0.0808,0,0
4,mcc_multi,"461785, 284533, 1011891, 1653678, 245064",training,0.0831,0.0000,0.0754,0,0
4,mcc_multi,"461785, 284533, 1011891, 1653678, 245064",validation,0.0989,0.0000,0.0907,0,0
4,mcc_multi,"461785, 284533, 1011891, 1653678, 245064",all,0.0959,0.0000,0.0877,0,0
4,mcc_multi,"1630706, 284533, 1011891, 1653678, 245064",training,0.0831,0.0000,0.0754,0,0
4,mcc_multi,"1630706, 284533, 1011891, 1653678, 245064",validation,0.1010,0.0000,0.0928,0,0
4,mcc_multi,"1630706, 284533, 1011891, 1653678, 245064",all,0.0975,0.0000,0.0894,0,0
4,mcc_multi,"284533, 782721, 1011891, 1653678, 1873247",training,0.0924,0.0000,0.0862,0,0
4,mcc_multi,"284533, 782721, 1011891, 1653678, 1873247",validation,0.1066,0.0000,0.0970,0,0
4,mcc_multi,"284533, 782721, 1011891, 1653678, 1873247",all,0.1040,0.0000,0.0950,0,0
4,mcc_multi,"782721, 1011891, 1653678, 1873247, 88429",training,0.0987,0.0000,0.0921,0,0
4,mcc_multi,"782721, 1011891, 1653678, 1873247, 88429",validation,0.1067,0.0000,0.0970,0,0
4,mcc_multi,"782721, 1011891, 1653678, 1873247, 88429",all,0.1052,0.0000,0.0961,0,0
4,mcc_multi,"782827, 1011891, 1653678, 1873247, 88429",training,0.0987,0.0000,0.0921,0,0
4,mcc_multi,"782827, 1011891, 1653678, 1873247, 88429",validation,0.1067,0.0000,0.0970,0,0
4,mcc_multi,"782827, 1011891, 1653678, 1873247, 88429",all,0.1052,0.0000,0.0961,0,0
4,mcc_multi,"782868, 1011891, 1653678, 1873247, 88429",training,0.0987,0.0000,0.0921,0,0
4,mcc_multi,"782868, 1011891, 1653678, 1873247, 88429",validation,0.1069,0.0000,0.0972,0,0
4,mcc_multi,"782868, 1011891, 1653678, 1873247, 88429",all,0.1054,0.0000,0.0962,0,0
4,mcc_multi,"782870, 1011891, 1653678, 1873247, 88429",training,0.0987,0.0000,0.0921,0,0
4,mcc_multi,"782870, 1011891, 1653678, 1873247, 88429",validation,0.1069,0.0000,0.0972,0,0
4,mcc_multi,"782870, 1011891, 1653678, 1873247, 88429",all,0.1054,0.0000,0.0962,0,0
4,mcc_multi,"782952, 1011891, 1653678, 1873247, 88429",training,0.0987,0.0000,0.0921,0,0
4,mcc_multi,"782952, 1011891, 1653678, 1873247, 88429",validation,0.1067,0.0000,0.0970,0,0
4,mcc_multi,"782952, 1011891, 1653678, 1873247, 88429",all,0.1052,0.0000,0.0961,0,0
4,mcc_multi,"783021, 1011891, 1653678, 1873247, 88429",training,0.0987,0.0000,0.0921,0,0
4,mcc_multi,"783021, 1011891, 1653678, 1873247, 88429",validation,0.1067,0.0000,0.0970,0,0
4,mcc_multi,"783021, 1011891, 1653678, 1873247, 88429",all,0.1052,0.0000,0.0961,0,0
5,mcc_multi,"704474, 1315852, 2130139, 313752, 627802",training,0.0813,0.0000,0.0744,0,0
5,mcc_multi,"704474, 1315852, 2130139, 313752, 627802",validation,0.0755,0.0000,0.0675,0,0
5,mcc_multi,"704474, 1315852, 2130139, 313752, 627802",all,0.0766,0.0000,0.0689,0,0
5,mcc_multi,"704476, 1315852, 2130139, 313752, 627802",training,0.0813,0.0000,0.0744,0,0
5,mcc_multi,"704476, 1315852, 2130139, 313752, 627802",validation,0.0755,0.0000,0.0675,0,0
5,mcc_multi,"704476, 1315852, 2130139, 313752, 627802",all,0.0766,0.0000,0.0689,0,0
5,mcc_multi,"455913, 44280, 1314227, 1116715, 1767317",training,0.2379,0.0000,0.1922,0,0
5,mcc_multi,"455913, 44280, 1314227, 1116715, 1767317",validation,0.2302,0.0000,0.1656,0,5
5,mcc_multi,"455913, 44280, 1314227, 1116715, 1767317",all,0.2317,0.0000,0.1709,0,5
5,mcc_multi,"455916, 44280, 1314227, 1116715, 1767317",training,0.2379,0.0000,0.1922,0,0
5,mcc_multi,"455916, 44280, 1314227, 1116715, 1767317",validation,0.2302,0.0000,0.1657,0,6
5,mcc_multi,"455916, 44280, 1314227, 1116715, 1767317",all,0.2318,0.0000,0.1710,0,6
5,mcc_multi,"455919, 44280, 1314227, 1116715, 1767317",training,0.2379,0.0000,0.1922,0,0
5,mcc_multi,"455919, 44280, 1314227, 1116715, 1767317",validation,0.2302,0.0000,0.1656,0,5
5,mcc_multi,"455919, 44280, 1314227, 1116715, 1767317",all,0.2317,0.0000,0.1709,0,5
5,mcc_multi,"455922, 44280, 1314227, 1116715, 1767317",training,0.2379,0.0000,0.1922,0,0
5,mcc_multi,"455922, 44280, 1314227, 1116715, 1767317",validation,0.2301,0.0000,0.1655,0,5
5,mcc_multi,"455922, 44280, 1314227, 1116715, 1767317",all,0.2317,0.0000,0.1709,0,5
5,mcc_multi,"455889, 44280, 1764557, 1116715, 39733",training,0.2365,0.0000,0.1919,0,0
5,mcc_multi,"455889, 44280, 1764557, 1116715, 39733",validation,0.2345,0.0000,0.1692,0,7
5,mcc_multi,"455889, 44280, 1764557, 1116715, 39733",all,0.2349,0.0000,0.1737,0,7
5,mcc_multi,"1238907, 1315852, 2130139, 313752, 627802",training,0.0731,0.0000,0.0663,0,0
5,mcc_multi,"1238907, 1315852, 2130139, 313752, 627802",validation,0.0742,0.0000,0.0663,0,0
5,mcc_multi,"1238907, 1315852, 2130139, 313752, 627802",all,0.0740,0.0000,0.0663,0,0
5,mcc_multi,"1315852, 2130139, 313752, 627802, 1690059",training,0.0511,0.0000,0.0456,0,0
5,mcc_multi,"1315852, 2130139, 313752, 627802, 1690059",validation,0.0557,0.0000,0.0488,0,0
5,mcc_multi,"1315852, 2130139, 313752, 627802, 1690059",all,0.0547,0.0000,0.0481,0,0
5,mcc_multi,"2130139, 313752, 627802, 1690059, 6872",training,0.0404,0.0000,0.0354,0,0
5,mcc_multi,"2130139, 313752, 627802, 1690059, 6872",validation,0.0469,0.0000,0.0405,0,1
5,mcc_multi,"2130139, 313752, 627802, 1690059, 6872",all,0.0457,0.0000,0.0396,0,1
1,simpson_by_group,"1522671, 1401809, 196090, 1458806, 2079914",training,0.5916,0.4280,0.5426,0,0
1,simpson_by_group,"1522671, 1401809, 196090, 1458806, 2079914",validation,0.5985,0.4295,0.5522,0,9
1,simpson_by_group,"1522671, 1401809, 196090, 1458806, 2079914",all,0.5972,0.4292,0.5503,0,9
1,simpson_by_group,"604512, 1373318, 2085564, 506267, 1940709",training,0.6400,0.5586,0.6232,0,0
1,simpson_by_group,"604512, 1373318, 2085564, 506267, 1940709",validation,0.6378,0.5044,0.6095,0,25
1,simpson_by_group,"604512, 1373318, 2085564, 506267, 1940709",all,0.6383,0.5158,0.6122,0,25
1,simpson_by_group,"1246939, 196090, 1265442, 2014698, 2110503",training,0.5895,0.0000,0.5320,0,0
1,simpson_by_group,"1246939, 196090, 1265442, 2014698, 2110503",validation,0.5863,0.0000,0.5319,0,13
1,simpson_by_group,"1246939, 196090, 1265442, 2014698, 2110503",all,0.5869,0.0000,0.5319,0,13
1,simpson_by_group,"1265442, 196090, 2110493, 241354, 445361",training,0.6467,0.0000,0.5962,0,0
1,simpson_by_group,"1265442, 196090, 2110493, 241354, 445361",validation,0.6399,0.0000,0.5924,0,1
1,simpson_by_group,"1265442, 196090, 2110493, 241354, 445361",all,0.6413,0.0000,0.5932,0,1
1,simpson_by_group,"1267384, 196090, 1461802, 5672, 885770",training,0.6509,0.0000,0.6011,0,0
1,simpson_by_group,"1267384, 196090, 1461802, 5672, 885770",validation,0.6389,0.0000,0.5922,0,8
1,simpson_by_group,"1267384, 196090, 1461802, 5672, 885770",all,0.6413,0.0000,0.5940,0,8
1,simpson_by_group,"1458806, 196090, 1461802, 254173, 84072",training,0.6034,0.0000,0.5568,1,0
1,simpson_by_group,"1458806, 196090, 1461802, 254173, 84072",validation,0.5942,0.0000,0.5504,0.774565505,2
1,simpson_by_group,"1458806, 196090, 1461802, 254173, 84072",all,0.5960,0.0000,0.5517,0.816470302,2
1,simpson_by_group,"1461802, 196090, 1990233, 668399, 883735",training,0.6353,0.0000,0.5855,0,0
1,simpson_by_group,"1461802, 196090, 1990233, 668399, 883735",validation,0.6280,0.0000,0.5810,0,5
1,simpson_by_group,"1461802, 196090, 1990233, 668399, 883735",all,0.6294,0.0000,0.5819,0,5
1,simpson_by_group,"36834, 1404073, 1701141, 1373318, 1906180",training,0.5446,0.4339,0.5712,1,0
1,simpson_by_group,"36834, 1404073, 1701141, 1373318, 1906180",validation,0.5477,0.3810,0.5698,0.447069544,18
1,simpson_by_group,"36834, 1404073, 1701141, 1373318, 1906180",all,0.5471,0.3924,0.5700,0.516281366,18
1,simpson_by_group,"229678, 1289429, 506267, 1940709, 1373318",training,0.6838,0.4736,0.6594,0,0
1,simpson_by_group,"229678, 1289429, 506267, 1940709, 1373318",validation,0.6688,0.4294,0.6441,0,38
1,simpson_by_group,"229678, 1289429, 506267, 1940709, 1373318",all,0.6718,0.4387,0.6471,0,38
1,simpson_by_group,"683636, 1906180, 1401809, 1373318, 1733775",training,0.5679,0.4132,0.5727,0,0
1,simpson_by_group,"683636, 1906180, 1401809, 1373318, 1733775",validation,0.5520,0.3486,0.5617,0,23
1,simpson_by_group,"683636, 1906180, 1401809, 1373318, 1733775",all,0.5552,0.3627,0.5639,0,23
2,simpson_by_group,"866044, 1246939, 196090, 704432, 1250652",training,0.5761,0.0000,0.5222,0,0
2,simpson_by_group,"866044, 1246939, 196090, 704432, 1250652",validation,0.5913,0.0000,0.5435,0,12
2,simpson_by_group,"866044, 1246939, 196090, 704432, 1250652",all,0.5883,0.0000,0.5392,0,12
2,simpson_by_group,"1246939, 1522671, 1421061, 196090, 1528224",training,0.5828,0.4811,0.5487,0,0
2,simpson_by_group,"1246939, 1522671, 1421061, 196090, 1528224",validation,0.5979,0.4434,0.5640,0,11
2,simpson_by_group,"1246939, 1522671, 1421061, 196090, 1528224",all,0.5949,0.4519,0.5609,0,11
2,simpson_by_group,"1522671, 329093, 1404073, 1373318, 1940709",training,0.6418,0.5429,0.6136,0,0
2,simpson_by_group,"1522671, 329093, 1404073, 1373318, 1940709",validation,0.6383,0.4947,0.6183,0,28
2,simpson_by_group,"1522671, 329093, 1404073, 1373318, 1940709",all,0.6390,0.5052,0.6174,0,28
2,simpson_by_group,"628907, 1276491, 1373318, 1940709, 1906180",training,0.6736,0.6426,0.6481,0.577164387,0
2,simpson_by_group,"628907, 1276491, 1373318, 1940709, 1906180",validation,0.6682,0.6306,0.6468,0.365023292,42
2,simpson_by_group,"628907, 1276491, 1373318, 1940709, 1906180",all,0.6693,0.6332,0.6470,0.447076661,42
2,simpson_by_group,"1041640, 196090, 1245469, 1461793, 36834",training,0.5836,0.0605,0.5364,1,0
2,simpson_by_group,"1041640, 196090, 1245469, 1461793, 36834",validation,0.5976,0.0454,0.5544,0.707078335,2
2,simpson_by_group,"1041640, 196090, 1245469, 1461793, 36834",all,0.5949,0.0492,0.5508,0.816470302,2
2,simpson_by_group,"1265442, 1304822, 196090, 239745, 1817331",training,0.7156,0.1048,0.6497,0,0
2,simpson_by_group,"1265442, 1304822, 196090, 239745, 1817331",validation,0.7198,0.0719,0.6618,0,20
2,simpson_by_group,"1265442, 1304822, 196090, 239745, 1817331",all,0.7190,0.0803,0.6594,0,20
2,simpson_by_group,"1276491, 506267, 1940709, 1373318, 1906180",training,0.7160,0.6460,0.6988,0.706992961,0
2,simpson_by_group,"1276491, 506267, 1940709, 1373318, 1906180",validation,0.7087,0.5941,0.6849,0.377834718,97
2,simpson_by_group,"1276491, 506267, 1940709, 1373318, 1906180",all,0.7102,0.6051,0.6876,0.492238786,97
2,simpson_by_group,"1304822, 329093, 1373318, 1940709, 1906180",training,0.6884,0.4262,0.6825,0,0
2,simpson_by_group,"1304822, 329093, 1373318, 1940709, 1906180",validation,0.6867,0.3824,0.6788,0,70
2,simpson_by_group,"1304822, 329093, 1373318, 1940709, 1906180",all,0.6871,0.3916,0.6795,0,70
2,simpson_by_group,"1373378, 196090, 1245469, 1258624, 196078",training,0.6109,0.0855,0.5627,0,0
2,simpson_by_group,"1373378, 196090, 1245469, 1258624, 196078",validation,0.6214,0.0643,0.5767,0,0
2,simpson_by_group,"1373378, 196090, 1245469, 1258624, 196078",all,0.6194,0.0695,0.5739,0,0
2,simpson_by_group,"1764419, 196090, 1683106, 900185, 121329",training,0.7230,0.2920,0.6672,0,0
2,simpson_by_group,"1764419, 196090, 1683106, 900185, 121329",validation,0.7331,0.2358,0.6804,0,9
2,simpson_by_group,"1764419, 196090, 1683106, 900185, 121329",all,0.7311,0.2493,0.6778,0,9
3,simpson_by_group,"283379, 1373378, 63512, 176532, 8639",training,0.0441,0.1548,0.0516,,0
3,simpson_by_group,"283379, 1373378, 63512, 176532, 8639",validation,0.0372,0.0963,0.0386,0,0
3,simpson_by_group,"283379, 1373378, 63512, 176532, 8639",all,0.0387,0.1064,0.0412,0,0
3,simpson_by_group,"866044, 1267384, 196093, 125236, 182551",training,0.4140,0.0000,0.3830,,0
3,simpson_by_group,"866044, 1267384, 196093, 125236, 182551",validation,0.4184,0.0000,0.3870,0,6
3,simpson_by_group,"866044, 1267384, 196093, 125236, 182551",all,0.4175,0.0000,0.3862,0,6
3,simpson_by_group,"1267384, 1274082, 900185, 196078, 106352",training,0.6059,0.0000,0.5684,,0
3,simpson_by_group,"1267384, 1274082, 900185, 196078, 106352",validation,0.6054,0.0000,0.5720,0,11
3,simpson_by_group,"1267384, 1274082, 900185, 196078, 106352",all,0.6055,0.0000,0.5713,0,11
3,simpson_by_group,"1461802, 196090, 726326, 1809259, 1650592",training,0.5913,0.0893,0.5475,,0
3,simpson_by_group,"1461802, 196090, 726326, 1809259, 1650592",validation,0.5970,0.0635,0.5535,0,4
3,simpson_by_group,"1461802, 196090, 726326, 1809259, 1650592",all,0.5959,0.0695,0.5523,0,4
3,simpson_by_group,"1522671, 353983, 73062, 1178405, 1176497",training,0.0400,0.4616,0.0439,,0
3,simpson_by_group,"1522671, 353983, 73062, 1178405, 1176497",validation,0.0637,0.4138,0.0608,0,12
3,simpson_by_group,"1522671, 353983, 73062, 1178405, 1176497",all,0.0589,0.4238,0.0574,0,12
3,simpson_by_group,"1690293, 196078, 196089, 475035, 106352",training,0.4168,0.0000,0.3700,,0
3,simpson_by_group,"1690293, 196078, 196089, 475035, 106352",validation,0.4153,0.0000,0.3694,0,16
3,simpson_by_group,"1690293, 196078, 196089, 475035, 106352",all,0.4156,0.0000,0.3695,0,16
3,simpson_by_group,"2116221, 196090, 726326, 1809259, 1650592",training,0.5907,0.0893,0.5470,,0
3,simpson_by_group,"2116221, 196090, 726326, 1809259, 1650592",validation,0.5958,0.0635,0.5523,0,3
3,simpson_by_group,"2116221, 196090, 726326, 1809259, 1650592",all,0.5948,0.0695,0.5513,0,3
3,simpson_by_group,"63512, 670751, 1912783, 2026225, 1183677",training,0.0462,0.0893,0.0465,,0
3,simpson_by_group,"63512, 670751, 1912783, 2026225, 1183677",validation,0.0293,0.0635,0.0319,0,0
3,simpson_by_group,"63512, 670751, 1912783, 2026225, 1183677",all,0.0334,0.0695,0.0354,0,0
3,simpson_by_group,"670751, 1912783, 2026225, 1183677, 59682",training,0.0483,0.1094,0.0499,,0
3,simpson_by_group,"670751, 1912783, 2026225, 1183677, 59682",validation,0.0451,0.0635,0.0452,0,0
3,simpson_by_group,"670751, 1912783, 2026225, 1183677, 59682",all,0.0457,0.0751,0.0462,0,0
3,simpson_by_group,"1246939, 2153658, 1178456, 1330282, 2050858",training,0.4633,0.3407,0.4330,,0
3,simpson_by_group,"1246939, 2153658, 1178456, 1330282, 2050858",validation,0.4683,0.2459,0.4344,0,15
3,simpson_by_group,"1246939, 2153658, 1178456, 1330282, 2050858",all,0.4673,0.2676,0.4341,0,15
4,simpson_by_group,"391005, 391647, 196090, 2013636, 141041",training,0.6074,0.0000,0.5632,1,0
4,simpson_by_group,"391005, 391647, 196090, 2013636, 141041",validation,0.5921,0.0000,0.5481,0.774565507,2
4,simpson_by_group,"391005, 391647, 196090, 2013636, 141041",all,0.5951,0.0000,0.5511,0.816470302,2
4,simpson_by_group,"1265442, 506267, 1404562, 1940709, 1373318",training,0.6226,0.4309,0.5976,0,0
4,simpson_by_group,"1265442, 506267, 1404562, 1940709, 1373318",validation,0.6116,0.4188,0.5818,0,66
4,simpson_by_group,"1265442, 506267, 1404562, 1940709, 1373318",all,0.6138,0.4211,0.5849,0,66
4,simpson_by_group,"1365488, 2110493, 196090, 1345043, 405685",training,0.7100,0.0000,0.6511,0,0
4,simpson_by_group,"1365488, 2110493, 196090, 1345043, 405685",validation,0.7086,0.0000,0.6487,0,19
4,simpson_by_group,"1365488, 2110493, 196090, 1345043, 405685",all,0.7089,0.0000,0.6492,0,19
4,simpson_by_group,"1522671, 1404073, 71907, 36789, 1373318",training,0.3959,0.4130,0.4143,0,0
4,simpson_by_group,"1522671, 1404073, 71907, 36789, 1373318",validation,0.3870,0.4320,0.4016,0,22
4,simpson_by_group,"1522671, 1404073, 71907, 36789, 1373318",all,0.3887,0.4283,0.4042,0,22
4,simpson_by_group,"1764419, 1274140, 1373318, 1906180, 1940709",training,0.7235,0.6585,0.7148,0.7070,0
4,simpson_by_group,"1764419, 1274140, 1373318, 1906180, 1940709",validation,0.7112,0.6237,0.7001,0.3462,69
4,simpson_by_group,"1764419, 1274140, 1373318, 1906180, 1940709",all,0.7137,0.6305,0.7031,0.3959,69
4,simpson_by_group,"2116221, 196090, 8219, 141041, 351105",training,0.6080,0.0000,0.5637,1,0
4,simpson_by_group,"2116221, 196090, 8219, 141041, 351105",validation,0.5916,0.0000,0.5473,0.774565509,0
4,simpson_by_group,"2116221, 196090, 8219, 141041, 351105",all,0.5948,0.0000,0.5506,0.816470304,0
4,simpson_by_group,"36834, 1345043, 196089, 1234915, 1827824",training,0.5177,0.0000,0.4771,1,0
